;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios
;Municípioarrow_upward;UFarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward;Smartline SINAN (2007 a 2020)arrow_upward;Variação SINAN (2019-2020)arrow_upward
6;Vera Cruz;BA;13  13;+18,2%;19  5;-64,3%;269  216;-26,3%;0  0;de 1 para 0
7;Caravelas;BA;34  12;+9,1%;27  4;0%;106  122;+3,4%;8  18;-10%
8;Poções;BA;14  12;-40%;39  8;-75%;256  255;-14,1%;2  56;+30,2%
9;Paramirim;BA;4  12;-7,7%;15  2;-60%;279  260;+4%;3  2;-50%
0;Esplanada;BA;24  12;-55,6%;12  2;-50%;78  86;-5,5%;0  27;+350%
1;Urandi;BA;6  12;+50%;12  4;-42,9%;171  198;-17,2%;9  5;-28,6%
2;Cocos;BA;2  12;0%;5  7;-75,9%;105  108;-28,9%;2  3;-25%
3;Barra;BA;7  12;+33,3%;11  1;-80%;219  220;-33,9%;2  3;-84,2%
4;Euclides da Cunha;BA;12  12;+500%;7  4;-55,6%;342  346;-35,1%;1  7;+16,7%
5;Itacaré;BA;4  11;+10%;2  2;-71,4%;55  61;-29,1%;0  1;-50%
6;Santa Maria da Vitória;BA;12  11;-35,3%;19  14;-56,3%;189  286;-16,4%;8  7;-41,7%
7;Castro Alves;BA;12  11;-54,2%;9  4;-20%;202  151;-13,7%;1  17;-15%
8;Inhambupe;BA;18  11;+57,1%;13  3;-25%;120  96;-25%;0  19;+137,5%
9;Sento Sé;BA;9  11;0%;8  1;-87,5%;218  59;-44,3%;11  5;+400%
0;Ruy Barbosa;BA;23  11;-57,7%;11  4;-69,2%;73  155;+28,1%;5  66;+500%
1;Santaluz;BA;23  10;-16,7%;9  4;-55,6%;184  180;-26,2%;0  71;+255%
2;Piatã;BA;3  10;+233,3%;13  0;de 8 para 0;87  95;-26,9%;4  11;+10%
3;Ipiaú;BA;32  10;-23,1%;71  13;-18,8%;324  307;+7,3%;13  67;-35,6%
4;Mucugê;BA;10  10;-33,3%;5  4;0%;80  53;-3,6%;9  16;-5,9%
5;Barrocas;BA;45  10;-50%;7  3;-57,1%;207  88;-39,7%;0  6;-14,3%
6;Livramento de Nossa Senhora;BA;11  9;+50%;48  23;+27,8%;559  572;-14,9%;17  14;-22,2%
7;Pindaí;BA;3  9;+28,6%;5  2;-66,7%;247  301;-11,2%;0  2;-50%
